lat,lon,alt,date,device,os,version
37.7725983,-122.4127351,0,2013-04-28 07:21:16,"Samsung d2att",4.2.2,1.0
37.7721558,-122.4136803,0,2013-04-28 07:22:16,"Samsung d2att",4.2.2,1.0
37.7710511,-122.4129622,0,2013-04-28 07:50:18,"Samsung d2att",4.2.2,1.0
37.7711459,-122.4118947,0,2013-04-28 07:51:18,"Samsung d2att",4.2.2,1.0
37.772138,-122.4105863,0,2013-04-28 07:53:17,"Samsung d2att",4.2.2,1.0
37.7734883,-122.4093042,0,2013-04-28 07:55:19,"Samsung d2att",4.2.2,1.0
37.7743303,-122.4089465,0,2013-04-28 07:58:18,"Samsung d2att",4.2.2,1.0
37.77454,-122.4085741,0,2013-04-28 16:54:11,"Samsung d2att",4.2.2,1.0
37.7745306,-122.4086174,0,2013-04-28 16:55:06,"Samsung d2att",4.2.2,1.0
37.7745558,-122.4085686,0,2013-04-28 16:57:06,"Samsung d2att",4.2.2,1.0
37.7745355,-122.4085818,0,2013-04-28 16:58:05,"Samsung d2att",4.2.2,1.0
37.7749878,-122.4098687,0,2013-04-28 20:25:05,"Samsung d2att",4.2.2,1.0
37.7751509,-122.408938,0,2013-04-28 20:31:05,"Samsung d2att",4.2.2,1.0
37.7757955,-122.4091257,0,2013-04-28 20:34:06,"Samsung d2att",4.2.2,1.0
37.7761757,-122.4094335,0,2013-04-28 22:17:54,"Samsung d2att",4.2.2,1.0
37.7769915,-122.4102258,0,2013-04-28 22:20:58,"Samsung d2att",4.2.2,1.0
37.77793,-122.409558,0,2013-04-28 22:22:57,"Samsung d2att",4.2.2,1.0
37.7788424,-122.4084218,0,2013-04-28 22:24:57,"Samsung d2att",4.2.2,1.0
37.7794152,-122.4075311,0,2013-04-28 22:25:58,"Samsung d2att",4.2.2,1.0
37.7801982,-122.4065033,0,2013-04-28 22:27:57,"Samsung d2att",4.2.2,1.0
37.7816682,-122.4050963,0,2013-04-28 22:30:58,"Samsung d2att",4.2.2,1.0
37.7822237,-122.404207,0,2013-04-28 22:32:58,"Samsung d2att",4.2.2,1.0
37.7832554,-122.4028818,0,2013-04-28 22:34:57,"Samsung d2att",4.2.2,1.0
37.7842159,-122.4022153,0,2013-04-28 22:36:57,"Samsung d2att",4.2.2,1.0
37.7851525,-122.4005277,0,2013-04-28 22:38:54,"Samsung d2att",4.2.2,1.0
37.7861946,-122.3992086,0,2013-04-28 22:41:58,"Samsung d2att",4.2.2,1.0
37.7864068,-122.3979662,0,2013-04-28 22:46:59,"Samsung d2att",4.2.2,1.0
37.7874675,-122.3974376,0,2013-04-28 23:41:54,"Samsung d2att",4.2.2,1.0
